epoch,accuracy,loss,val_accuracy,val_loss
0,0.712945282459259,1.5516486167907715,0.6432573199272156,1.0707319974899292
1,0.7519233226776123,0.8597005605697632,0.7777110934257507,0.8185511231422424
2,0.7621959447860718,0.8001458048820496,0.7761104702949524,0.7672763466835022
3,0.7710010409355164,0.7610158920288086,0.7955182194709778,0.6976386904716492
4,0.7814070582389832,0.7274754643440247,0.8001200556755066,0.6700239777565002
5,0.7895228266716003,0.6995751857757568,0.8127250671386719,0.6317318677902222
6,0.799817681312561,0.673530638217926,0.8305321931838989,0.5888678431510925
7,0.8021523356437683,0.6590527296066284,0.8285313844680786,0.5950184464454651
8,0.8052652478218079,0.6452144384384155,0.8115246295928955,0.6449537873268127
9,0.8096233606338501,0.6327522397041321,0.8419367671012878,0.5470489859580994
