epoch,accuracy,loss,val_accuracy,val_loss
0,0.7115444540977478,1.4855947494506836,0.761704683303833,0.8656012415885925
1,0.7539467215538025,0.8327484130859375,0.7082833051681519,0.9473056793212891
2,0.7603948712348938,0.7954362630844116,0.7773109078407288,0.7871935963630676
3,0.7659314274787903,0.7640863656997681,0.7957183122634888,0.7113392949104309
4,0.7698892951011658,0.7460979223251343,0.7935174107551575,0.7201733589172363
5,0.776003897190094,0.7285870909690857,0.790316104888916,0.6850539445877075
6,0.7801618576049805,0.7174047231674194,0.7935174107551575,0.6733105778694153
7,0.7819406986236572,0.7095560431480408,0.7843137383460999,0.7117317914962769
8,0.785275936126709,0.7023006677627563,0.8217287063598633,0.6228559017181396
9,0.791924238204956,0.6857350468635559,0.8211284279823303,0.6192269325256348
