epoch,accuracy,loss,val_accuracy,val_loss
0,0.7394049763679504,0.7321856021881104,0.7733093500137329,0.6225253939628601
1,0.777804970741272,0.5730567574501038,0.795918345451355,0.5179019570350647
2,0.810134768486023,0.48738184571266174,0.8309323787689209,0.44563406705856323
3,0.8341041207313538,0.42414402961730957,0.8541416525840759,0.3871411681175232
4,0.8580513000488281,0.3658152222633362,0.8751500844955444,0.3320659101009369
5,0.8759505748748779,0.3182445466518402,0.8893557190895081,0.2851449251174927
6,0.8897807598114014,0.2826402187347412,0.9019607901573181,0.25660252571105957
7,0.9029439091682434,0.25166481733322144,0.9107642769813538,0.2463296800851822
8,0.9132387638092041,0.22487202286720276,0.9197679162025452,0.2177485078573227
9,0.9199982285499573,0.20655827224254608,0.9253701567649841,0.20041389763355255
