epoch,accuracy,loss,val_accuracy,val_loss
0,0.7105216383934021,1.6712470054626465,0.7474989891052246,0.8832507729530334
1,0.7521012425422668,0.8558135032653809,0.7791116237640381,0.7836437225341797
2,0.7612842917442322,0.7918950319290161,0.7843137383460999,0.7371271848678589
3,0.7677991986274719,0.7596373558044434,0.7845138311386108,0.7320810556411743
4,0.7720460891723633,0.7422448992729187,0.7875149846076965,0.7121526598930359
5,0.7774269580841064,0.7333624958992004,0.8019207715988159,0.6899423599243164
6,0.7825855016708374,0.7103450298309326,0.79111647605896,0.6806482076644897
7,0.7878552079200745,0.6925939321517944,0.8227291107177734,0.6231667399406433
8,0.7919464707374573,0.6808193325996399,0.825130045413971,0.6045916676521301
9,0.7909903526306152,0.6757088899612427,0.8295317888259888,0.5891874432563782
